date,volume,amount,return,vol,mom,bb
2015-10-08,0.243406691043,0.287545839117,-0.00223964165733,2.2369040395,0.784605377441,0.735491496562
2015-10-09,-0.275867943178,-0.232262343419,0.0132596685083,2.25343859985,1.67157974812,0.704960160957
2015-10-12,0.57588664923,0.639190828119,0.012547735952,1.78088505427,1.35830574291,0.487703171082
2015-10-13,0.0694746326586,0.124319211842,-0.00714285714286,1.64100835449,1.12969719911,0.30182779557
2015-10-14,-0.334510243425,-0.293903829692,-0.0122358175751,1.71023930663,0.386873757821,-0.0364160244718
2015-10-15,1.09862540963,1.1985183738,0.0270562770563,1.65021533954,1.01848514626,0.00311161636863
2015-10-16,0.762231009382,0.888600256759,0.0128205128205,1.62590149347,0.0689855739033,0.0171513931934
2015-10-19,0.427828943404,0.510304677581,-0.0179445350734,0.296184511133,0.0816312926847,-0.0227208861345
2015-10-20,-0.0800293281747,-0.0213697901071,-0.0016339869281,0.14897224993,0.1818072038,0.0242486066567
2015-10-21,1.38393073202,1.50059403614,0.0249601699416,0.348147942766,0.907814172091,0.246387685534
2015-10-22,0.0729458270836,0.143225118408,-0.0217037438958,0.41172574717,0.4017907058,0.238673290543
2015-10-23,0.163377692512,0.225899572239,-0.00545553737043,0.412992897657,0.442462213205,0.231876681467
2015-10-26,0.699693077741,0.772311669792,-0.00658978583196,0.404038227072,-0.0336308287871,0.175397778806
2015-10-27,-0.090942591073,-0.0462419950615,-0.0016501650165,0.219187743125,0.15734571755,0.174979944103
2015-10-28,-0.145294007985,-0.106072351536,-0.0105614230128,0.189523905206,0.179061997071,0.155161208756
2015-10-29,-0.383420191423,-0.348557972784,-0.00278706800446,0.128281066239,-0.0503307929382,0.0769797306345
2015-10-30,0.0807539624676,0.126047940452,0.00664451827243,0.0952717820352,0.252390380844,0.0393010200399
2015-11-02,-0.37380087416,-0.336451989104,-0.00556792873051,0.0427672373865,0.226379077037,-0.0761297705517
2015-11-03,-0.181927718014,-0.137436515859,0.0038824181919,0.0353452015054,-0.0145131204962,-0.305688681378
2015-11-04,0.618522100933,0.692784602084,0.0254054054054,0.160520615556,0.446350304578,-0.335151836223
2015-11-05,3.90350669057,4.22063227793,0.0112239444148,0.190416329411,0.411951174347,-0.3146307381
2015-11-06,1.57519482168,1.728765034,0.00584484590861,0.142762873059,0.299532269181,-0.170613247007
2015-11-09,4.61873371581,5.17971261053,0.0208116545265,0.245244460064,0.772333981277,0.161038771248
2015-11-10,1.2918405641,1.45656784718,-0.0234291799787,0.470747913374,0.586030497084,0.198442248894
2015-11-11,0.271484741324,0.359067294687,-0.010764262648,0.45577465386,-0.0443749489492,0.145612240518
2015-11-12,0.0815337499698,0.151587990844,-0.00923411189571,0.211075864916,-0.398770046783,0.144931841481
2015-11-13,-0.133421971272,-0.0778175341104,-0.00711159737418,0.149273696235,-0.228141062869,0.119910221976
2015-11-16,-0.184486994277,-0.138188664447,-0.00219298245614,0.0223637585506,-0.237084153878,0.12917445356
2015-11-17,0.514402228745,0.596229017827,0.00218818380744,0.0246810237918,-0.602797354999,0.133461386671
2015-11-18,0.181805302433,0.245264828162,0.00109289617486,-0.288927409545,-0.245435804189,0.0615569965725
2015-11-19,-0.224126420314,-0.172215266165,0.00218102508179,-0.508733967221,-0.12285905032,0.0601939824998
2015-11-20,-0.125711651338,-0.0686826710036,-0.00273373428103,-0.520142272719,-0.0607964048376,0.0618663284084
2015-11-23,0.19976298778,0.268411594386,0.00218221494817,-0.541774186192,0.00142750439678,0.0527923357804
2015-11-24,0.614739447524,0.65755225971,-0.0177679067185,-0.377671797983,-0.113726608761,0.0883867673588
2015-11-25,0.725610523819,0.751166178091,-0.00839865621501,-0.397802317971,-0.203587826058,0.129159468385
2015-11-26,0.659057028554,0.682662466849,-0.0113250283126,-0.341528388577,-0.488913986053,0.226630623707
2015-11-27,0.778461533814,0.748870665014,-0.0285381479324,-0.0299591660891,-0.841166337496,0.495450824039
2015-12-01,-0.0243284171675,-0.0380200814112,-0.00522041763341,0.0128322093753,-1.23024731958,0.708712900768
2015-12-02,1.75345834883,1.76395830906,0.0443458980044,0.584540994162,-0.709272226185,0.704611545447
2015-12-03,0.87993990434,0.916468672434,-0.0072585147962,0.530615349041,-0.911593106843,0.686332781636
2015-12-04,0.310731765521,0.310078323245,-0.0304948216341,0.776599457266,-1.67584857108,0.69553857929
2015-12-07,0.0868541181131,0.0894665774078,0.00855675984027,0.604317380624,-1.2052789782,0.571718602225
2015-12-08,0.129338942004,0.135646779307,0.0011396011396,0.471972443511,-1.02584458362,0.50323000313
2015-12-09,0.097617095211,0.104379211808,-0.00171232876712,0.450986665432,-0.91143947659,0.455366490437
2015-12-10,0.0977495678831,0.104934011028,-0.00747556066705,0.443590629095,-0.916984962308,0.44288295013
2015-12-11,2.0960655122,1.96802724208,-0.0199413489736,0.545578679665,-1.18400434815,0.506870679398
2015-12-14,1.52480778059,1.40336639129,0.00814426992437,0.595263425184,-1.09346273598,0.520575137275
2015-12-15,0.157205286818,0.132382294053,-0.00174825174825,0.585121725237,-1.13648280966,0.513645799612
2015-12-16,-0.280897686571,-0.289785723645,-0.0040959625512,0.577592059832,-1.23103649444,0.492118836577
2015-12-17,0.272156225006,0.247366546803,0.00812536273941,0.61594297462,-1.06647967999,0.405514405692
2015-12-18,3.31593543961,3.31621081763,0.0237960339943,0.86841490173,-0.730046572103,0.267020836125
2015-12-21,3.19100162534,3.28822463938,0.0391943385955,1.39631166786,0.190763377322,0.285993184707
